,Questions,Correct,A,B,C,D
0,"What is the capital of Afghanistan?
",Kabul,Tirana,Kabul,Dushanbe,Tashkent
1,"What is the capital of Australia?
",Canberra,Canberra,Sydney,Melbourne,Ottawa
2,"What is the capital of Belgium?
",Brussels,Amsterdam,Luxemburg,Brussels,Stockholm
3,"What is the capital of Greece?
",Athens,Ankara,Athens,Sofia,Thessaloniki
4,"What is the capital of Italy?
",Rome,Venice,Rome,Naples,Milan
5,"What is the capital of Israel?
",Jerusalem,Tel Aviv,Kabul,Jerusalem,Islamabad
6,"What is the capital of Germany?
",Berlin,Frankfurt,Berlin,Munich,Hamburg
7,"What is the capital of Norway?
",Oslo,Stockholm,Helsinki,Oslo,Copenhagen
8,"What is the capital and largest city of Hawaii, the 50th US state?
",Honolulu,Little Rock,Dover,Frankfort,Honolulu
9,"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?
",Ob,Ural,Volga,Ob,Lena
10,"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.
",Nevado Mismi,Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo
11,"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?
",Yangtze,Irtysh,Huai River,Yangtze,Mekong
12,"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?
",Yellow,Brown,Orange,Yellow,Red
13,"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?
",Lake Itasca,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
14,"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?
",Mekong,Mekong,Saskatchewan,Angara,Brahmaputra
15,"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.
",Danube,Don,Dniepr,Danube,Emba
16,"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?
",The Bay of Bengal,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea
17,"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.
",Zambezi,Zambezi,Congo,Gambia,Orange
18,"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries.
","Uganda, Kenya and Tanzania","Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe"
19,"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.
",Equator,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian
20,"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?
",Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
21,"Which continents are entirely in the Southern Hemisphere?
",Australia and Antarctica,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia
22,"Which continents (landmasses, not peripheral islands) are entirely in the Northern Hemisphere?
","North America, Europe, and Asia",North America and Europe,"Europe, Africa and Asia","North America, Africa, and Asia","North America, Europe, and Asia"
23,"Which continents are entirely in the Western Hemisphere?
",North America and South America,"North America, Europe, and Asia","Europe, Asia, Africa, Australia",Australia and Antarctica,North America and South America
24,"Which feature on a map helps determine direction?
",a compass rose,a key,a legend,a compass rose,a scale
25,"Which of these is not a type of map projection?
",Crusoe,Robinson,Crusoe,Mercator,Interrupted
26,"Which of these continents is largest (by territory)?
",North America,South America,Antarctica,North America,Europe
27,"Which of these countries is smallest (by territory)?
",San Marino,Seychelles,Liechtenstein,San Marino,Marshall Islands
28,"Which of these US cities is largest (by population)?
",Houston,Houston,Phoenix,Philadelphia,San Antonio
29,"Which of these mountains is highest?
",Mount McKinley,Puncak Jaya,Mount McKinley,Mount Elbrus,Mount Kilimanjaro
30,"Which of these lakes is deepest?
",Tanganyika,Caspian Sea,Malawi or Nyasa,Tanganyika,Issyk-Kul
31,"Which of these rivers is longest?
",Huang,Lena,Huang,Amur,Ob-Irtysh
32,"Which of these seas is largest?
",Mediterranean,Bering,Arabian Sea,Mediterranean,Gulf of Mexico
33,"Which of these deserts is largest?
",Syrian,Chihuahuan,Syrian,Thar,Great Sandy
34,"Which of these inhabited places is wettest?
",Moulein,Moulein,Sylhet,Baguio,Lae
35,"Which of these oceans has the greatest depth?
",Pacific Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
36,"The rivers - the Tajo, the Ebro, the Duero, and the Guadiana, are located in this country.
",Spain,Columbia,Portugal,Spain,Brazil
37,"The volcanoes - Akan, Aso, Mount Fuji and Rausu are located in this country.
",Japan,Japan,Malaysia,North Korea,Indonesia
38,"Onega, Khanka and Chudskoye are three of the many lakes in this country.
",Russia,Kazakhstan,Mongolia,Ukraine,Russia
39,"The valleys of the Yellow River and the Pearl River are two of the seven main national valleys in this country.
",China,Burma,China,Thailand,India
40,"Pico da Bandeira, Pico do Cruzeiro and Pedra da Mina are three of the numerous mountains located in this South American country.
",Brazil,Argentina,Chili,Brazil,Peru
41,"Chauvet Cave and Meyrieres Cave are two caves located in this European state.
",France,France,Netherlands,Spain,Belgium
42,"Kainji Lake and Lake Chad are considered lakes of this country.
",Nigeria,Niger,Nigeria,Cameroon,Chad
43,"Mitchell, Jardine, Staaten, Flinders, Leichhardt, and Nicholson are just few of the rivers in this country.
",Australia,Indonesia,Australia,Papua New Guinea,New Zealand
44,"Kaskaspakte, Akka and Sielmmacohkka are three mountains in this country.
",Sweden,Norway,Finland,Denmark,Sweden
45,"Dasht-e Kavir and Kavir-e Lut are deserts located in this Asian country.
",Iran,India,Iran,Pakistan,Iraq
46,"Which two countries border the Dead Sea?
",Jordan and Israel,Jordan and Israel,Lebanon and Jordan,Syria and Jordan,Lebanon and Israel
47,"Is it true that Yasseir Arafat became chairman of the Palestinian Liberation Organization in 2004?
",No,Yes,No,,
48,"What are the three Benelux countries?
","Belgium, Netherlands and Luxembourg","Belgium, Netherlands and Luxembourg","Finland, Sweden and Denmark","The U.S.A., Canada and Mexico","Honduras, Nicaragua and Belize"
49,"Did the 13 colonies declare their independence in 1776?
",Yes,No,Yes,,
50,"Europe is the smallest continent.
",False,True,False,,
51,"What are the Tropic of Cancer and the Tropic of Capricorn?
",Lines of latitude,Lines of latitude,Lines of longitude,Parallel to the Greenwhich Meridian,None of these
52,"Which statement about the emu and the kangaroo is not true?
",Both are indigenous only to Australia.,Both are indigenous only to Australia.,Both are on the national emblem of Australia.,Both are incapable of flying.,Both are incapable of  walking backwards.
53,"What was the former name of the city of Istanbul ?
",Constantinople,Constantinople,Persia,Zaire,Siam
54,"Where would you find the shortest river in the world?
",Montana,Wales,Ecuador,Tasmania,Montana
55,"What major geographical feature is located at 23.5 degrees North latitude?
",The Tropic of Cancer,The Equator,The Arctic Circle,The Tropic of Capricorn,The Tropic of Cancer
56,"Which would be found at 39 degrees 43 minutes North latitude?
",The majority of the Mason-Dixon Line.,The Tropic of Cancer,The Tropic of Capricorn,The majority of the Mason-Dixon Line.,The border between Canada and  Washington State.
57,"Which country held the record for the highest birth rate in the 2005 world statistics?
",Niger,Niger,Uganda,Mali,Vatican City
58,"How many US states border the Gulf of Mexico?
",5,4,3,5,10
59,"Measuring at the Equator, what is the closest approximation of the Earths circumference?
","24,900 miles","24,900,000 miles","24,900 miles","249,000 miles","2,490,000 miles"
60,"The people of which country watched the most TV per week in 2005?
",Thailand,Thailand,The Philippines,The USA,Egypt
61,"How many US states border the Pacific Ocean?
",5,11,4,5,3
62,"Which one of these ski resorts is not located in the Alps?
",Mont-Tremblant,Kitzbuhel,Zermatt,Mont-Tremblant,Chamonix-Mont-Blanc
63,"The tallest mountain peak in the US is Mount McKinley. This is the second tallest.
",Mount Saint Elias,Mount Saint Elias,Glacier Peak,Mount Washington,Gannett Peak
64,"Which one of these mountains is not a volcano?
",Mount Aspiring,Mauna Kea,Mount St. Helens,Mount Vesuvius,Mount Aspiring
65,"The highest mountain peak on our planet is Mount Everest. It was first climbed by Edmund Hillary and Tenzing Norgay on May 29, 1953. What is the home country of Sir Edmund Hillary?
",New Zealand,United Kingdom,The United States,France,New Zealand
66,"Which saltwater lake, bordered on the west by Azerbaijan and Russia, is the largest inland body of water in the world?
",Caspian Sea,Tanganyika,Victoria,Baikal,Caspian Sea
67,"This country, situated in North Europe, has almost 200 000 lakes - more than any other country in the world.
",Finland,Finland,Sweden,The Netherlands,Georgia
68,"Which body of water, situated in Southern Siberia, is the deepest and oldest freshwater lake on Earth?
",Baikal,Onega,Ladoga,Huron,Baikal
69,"This water body, which is South Americas largest freshwater lake, is the highest commercially navigable lake.
",Titicaca,Nyasa,Nicaragua,Titicaca,Michigan
70,"This country has more than 60% of worlds lakes due to its special drainage system.
",Canada,Australia,Russia,Canada,The USA
71,"This freshwater-lake island, with a surface area of 2,766 km², is the biggest on Earth.
",Manitoulin Island,Islandlake,Ainslie,Manitoulin Island,Isle of Wight
72,"What Canadian lake is the largest in the world, located on an island?
",Nettilling Lake,Nettilling Lake,Aral,Winnipeg,Michigan
73,"This is the lowest lake on Earth, situated at about 400 meters below sea level on the border between Israel and Jordan.
",Dead Sea,Issyk-Kul,Balkhash,Urmia,Dead Sea
74,"Which tiny lake located in Tibet is the highest lake on Earth?
",Lhagba Pool,Lhagba Pool,Rush Lake,Laguna Lobato,Poquentica Lake
75,"With a surface area of about 82,000 km², this lake between Ontario and Minnesota is the largest single freshwater lake in the world.
",Lake Superior,Turkana,Michigan,Lake Superior,Onega
76,"The word volcano comes from the name of the Roman god of fire, Vulcan. Who is the analogue of Vulcan in Greek mythology?
",Hephaestus,Hephaestus,Helios,Hermes,Zeus
77,"If magma contains more than 65% silica, the lava is called this.
",felsic or acidic,felsic or acidic,thick,mafic or basic,dense
78,"Phreatic eruptions occur when the temperature of magma is relatively low and it solidifies very quickly, sometimes blocking the vent of the volcano.
",False,True,False,,
79,"Yellowstone Caldera is considered a supervolcano because within the past two million years it has erupted extremely violently three times . The most recent eruption occurred this long ago, and spread volcanic ash over most of the North American continent.
","640,000 years","1,510,000 years","40,000 years","640,000 years","17,000 years"
80,"Which of the following states of America is an inland one and has an official motto that does not come from Latin?
",Montana,Montana,Virginia,Oklahoma,South Carolina
81,"Which of the following states has an official motto In God we trust, which is also the official motto of the United States of America?
",Florida,Georgia,Washington,South Dakota,Florida
82,"Three of these US states have an official motto related to liberty. Spot the odd one.
",Oklahoma,Iowa,Oklahoma,New Jersey,New Hampshire
83,"This famous Latin maxim, which is the official motto of South Carolina, means While I breathe, I hope.
",Dum spiro spero,Si quaeris peninsulam amoenam circumspice,Nil sine numine,Salus populi suprema lex esto,Dum spiro spero
84,"Three of the following US states have a motto consisting of one single word in English. Which one does not belong to the group?
",West Virginia,Utah,Texas,West Virginia,Rhode Island
85,"North to the Future is the official motto of this US state, which is the largest in area.
",Alaska,Texas,Alaska,Nevada,Colorado
86,"Which of the following maxims, meaning The people rule, is the official state motto of Arkansas?
",Regnat populus,Esto perpetua,Regnat populus,Dirigo,Ditat Deus
87,"This famous exclamation, which has been attributed to ancient scientist Archimedes, is the official state motto of California.
",Eureka,Excelsior!,Virtute et armis,Ad astra per aspera,Eureka
88,"The official motto of this state in the Pacific Northwest of the United States comes from Chinook Jargon.
",Washington,Wisconsin,Washington,Pennsylvania,New York
89,"Which of these states has an official motto that doesnt include the word rights in it?
",Indiana,Iowa,Indiana,Wyoming,Alabama
90,"Which volcano, located on Ross Island, Antarctica, is the southernmost active volcano on Earth?
",Mount Erebus,Mayon Volcano,Cold Bay Volcano,Mount Erebus,Teide
91,"This volcano, which is the largest in Europe, is located on the largest island in the Mediterranean Sea.
",Mount Etna,Mount Etna,Hekla,El Misti,Santorini
92,"Popocatépetl, a volcano whose name means Smoking Mountain, is 70 km away from the capital of which American country?
",Mexico,Mexico,Peru,Canada,Argentina
93,"Mount Vesuvius, that is notorious for the destruction of two Roman cities in the year 79, was linked most closely to which hero and demigod?
",Hercules,Asclepius,Apollo,Zeus,Hercules
94,"What is the biggest extinct volcano in Ecuador, situated in the Andes mountain.
",Chimborazo,Chimborazo,Ojos Del Salado,Llullaillaco,Cotopaxi
95,"This dormant volcano, which is 66 km northeast of Tehran, is the symbol of Iranian resistance against foreign rule.
",Mount Damavand,Mount Hood,Krakatoa,Mount Damavand,Krafla
96,"This active volcano, whose name means long mountain in Hawaiian, is one of the five peaks that form the Island of Hawaii.
",Mauna Loa,Cotopaxi,Mauna Loa,Mount Kea,Hekla
97,"What volcano located on the island of Tenerife represents the highest mountain on Spanish territories?
",Teide,Teide,Stromboli,Santorini,Duvalo
98,"The name of this volcano, located on the Alaska Peninsula, means new eruption.
",Novarupta,Newatsa,Mount Rainier,Novarupta,Mount Hood
99,"Which is the volcanically active region that is situated in a famous national US park and has a territory of 55 kilometers by 72 kilometers?
",Yellowstone Caldera,Yosemite Valley,Yellowstone Caldera,Mount Shasta,Cold Bay Volcano
100,"Where is the southernmost point in all 50 states?
",Hawaii,Texas,Hawaii,Florida,California

